unique_id,level_of_study,gp,number_of_F,number_of_E,number_of_D,number_of_C,number_of_B,number_of_A,average_grade,grade_variation,delta_gp,cumulative_std_gp,previous_gp,next_gp
66680,100.0,3.6666666666666665,0.0,0.0,0.0,1.0,2.0,0.0,3.6666666666666665,0.5773502691896258,0.0,0.0,0.0,3.1333333333333333
66680,200.0,3.1333333333333333,0.0,1.0,1.0,2.0,1.0,2.0,3.2857142857142856,1.4960264830861913,-0.5333333333333332,0.3771236166328253,3.6666666666666665,0.8571428571428571
66680,300.0,0.8571428571428571,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.4142135623730951,-2.276190476190476,1.4921411665023434,3.1333333333333333,3.545454545454545
66680,400.0,3.545454545454545,0.0,0.0,0.0,2.0,2.0,0.0,3.5,0.5773502691896257,2.6883116883116878,1.315626199760279,0.8571428571428571,3.1999999999999997
66680,500.0,3.1999999999999997,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.1547005383792515,-0.34545454545454524,1.1532781153516753,3.545454545454545,3.1999999999999997
66846,100.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.816496580927726,0.0,0.0,0.0,3.125
66846,200.0,3.125,0.0,0.0,0.0,4.0,1.0,0.0,3.2,0.447213595499958,-0.875,0.6187184335382291,4.0,4.75
66846,300.0,4.75,0.0,0.0,0.0,0.0,1.0,2.0,4.666666666666667,0.5773502691896257,1.625,0.813300887330964,3.125,3.0
66846,400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-1.75,0.818885166959731,4.75,1.0
66846,500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.4075688260259247,3.0,1.0
67008,100.0,4.7,0.0,0.0,0.0,0.0,1.0,3.0,4.75,0.4999999999999999,0.0,0.0,0.0,3.75
67008,200.0,3.75,0.0,0.0,0.0,2.0,1.0,1.0,3.75,0.9574271077563381,-0.9500000000000002,0.6717514421272199,4.7,1.0
67008,300.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.75,1.9215878850575632,3.75,4.0
67008,400.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1.6255127396199225,1.0,5.0
67008,500.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.5868207208125307,4.0,5.0
67166,100.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.333333333333333
67166,200.0,3.333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,3.5,1.2909944487358056,-1.666666666666667,1.178511301977579,5.0,4.875
67166,300.0,4.875,0.0,0.0,0.0,0.0,1.0,3.0,4.75,0.4999999999999999,1.541666666666667,0.9282724895281638,3.333333333333333,2.5
67166,500.0,2.5,0.0,2.0,0.0,1.0,1.0,0.0,2.25,1.4999999999999998,-2.375,1.2163883814162497,4.875,2.5
67326,100.0,4.4,0.0,0.0,0.0,0.0,1.0,1.0,4.5,0.7071067811865476,0.0,0.0,0.0,3.4166666666666665
67326,200.0,3.4166666666666665,0.0,1.0,1.0,1.0,2.0,2.0,3.4285714285714284,1.5118578920369088,-0.9833333333333338,0.695321668166772,4.4,1.3333333333333333
67326,300.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.6457513110645907,-2.083333333333333,1.5658685910524053,3.4166666666666665,4.7142857142857135
67326,400.0,4.7142857142857135,0.0,0.0,0.0,0.0,1.0,3.0,4.75,0.5,3.3809523809523805,1.5254806994267438,1.3333333333333333,4.0
67326,500.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.816496580927726,-0.7142857142857135,1.3425105091283946,4.7142857142857135,4.0
67486,100.0,2.8571428571428568,0.0,1.0,0.0,1.0,1.0,0.0,2.6666666666666665,1.5275252316519468,0.0,0.0,0.0,2.272727272727273
67486,200.0,2.272727272727273,1.0,2.0,0.0,1.0,1.0,1.0,2.3333333333333335,1.96638416050035,-0.5844155844155838,0.41324422277135836,2.8571428571428568,1.2857142857142856
67486,300.0,1.2857142857142856,0.0,3.0,0.0,1.0,0.0,0.0,1.5,1.0,-0.9870129870129873,0.7942631770958274,2.272727272727273,1.0
67486,400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2857142857142856,0.8629199906221464,1.2857142857142856,1.0
67486,500.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.816496580927726,0.0,0.8392263663108323,1.0,1.0
